pieces,result,game_ending,end_time,moves,white_rating,white_accuracy,black_rating,black_accuracy,white_seconds,black_seconds,time_control,time_class
black,win,resigned,1664102306,35,1149,85.45,1260,97.82,335.8,365.7,600,rapid
white,win,checkmated,1664109299,28,1266,80.63,1154,65.19,287.5,288.6,600,rapid
black,win,timeout,1664222601,33,1235,74.26,1273,68.95,47.6,48.4,600,rapid
white,loss,checkmated,1664223705,28,1264,,1257,,253.7,374.7,600,rapid
black,win,checkmated,1664276324,36,1220,73.57,1271,86.87,349.6,352.6,600,rapid
black,loss,resigned,1664306636,27,1307,63.04,1264,50.34,241.7,238.6,600,rapid
black,win,resigned,1664371295,18,1213,68.81,1271,87.14,490.8,492.7,600,rapid
white,loss,checkmated,1664456133,31,1265,57.76,1352,74.77,207.1,208.1,600,rapid
white,win,checkmated,1664473140,66,1272,82.14,1234,72.95,111.1,197.8,600,rapid
white,loss,checkmated,1664569411,31,1263,,1249,,428.5,430.0,600,rapid
