pieces,result,game_ending,end_time,moves,white_rating,white_accuracy,black_rating,black_accuracy,white_seconds,black_seconds,time_control,time_class
black,win,resigned,1662018289,27,1217,54.62,1193,68.21,389.6,356.1,600,rapid
white,loss,checkmated,1662111628,51,1184,54.97,1139,60.36,208.4,211.2,600,rapid
white,loss,checkmated,1662130856,20,1177,54.92,1214,74.53,487.4,493.7,600,rapid
black,win,resigned,1662131891,27,1173,58.38,1185,64.34,212.3,187.9,600,rapid
black,loss,checkmated,1662215715,30,1198,59.05,1177,53.26,328.4,330.0,600,rapid
white,win,timeout,1662217217,34,1185,81.9,1180,64.19,36.0,39.0,600,rapid
black,loss,checkmated,1662218517,41,1233,72.79,1178,70.23,59.0,59.9,600,rapid
white,win,checkmated,1662221348,32,1186,,1157,,420.1,416.0,600,rapid
white,win,checkmated,1662288314,63,1193,83.76,1154,78.41,286.7,289.0,600,rapid
white,loss,resigned,1662320863,26,1185,65.6,1221,71.85,293.4,292.5,600,rapid
black,win,resigned,1662321148,17,1171,77.52,1193,95.96,415.5,529.3,600,rapid
black,win,abandoned,1662322015,10,1173,,1201,,518.8,499.5,600,rapid
white,loss,resigned,1662326514,22,1193,,1230,,434.9,481.3,600,rapid
white,win,timeout,1662327432,53,1200,83.23,1143,72.44,312.9,107.5,600,rapid
black,win,resigned,1662405160,59,1190,83.34,1208,90.55,150.5,39.3,600,rapid
white,win,resigned,1662405761,42,1216,94.34,1182,82.09,320.1,326.3,600,rapid
black,win,resigned,1662486946,33,1204,67.56,1224,69.31,229.4,158.1,600,rapid
black,win,resigned,1662487644,12,1177,,1231,,558.7,523.5,600,rapid
white,win,checkmated,1662488472,36,1238,65.32,1170,57.83,264.7,141.6,600,rapid
white,loss,resigned,1662538325,54,1229,78.2,1213,86.1,232.1,235.4,600,rapid
black,loss,checkmated,1662545730,24,1275,74.33,1222,62.4,357.8,365.5,600,rapid
black,loss,resigned,1662557261,26,1267,85.54,1215,72.14,462.2,411.0,600,rapid
black,loss,checkmated,1662576658,40,1219,66.13,1207,58.82,102.8,107.5,600,rapid
white,loss,resigned,1662577637,44,1199,64.3,1211,67.25,51.4,234.8,600,rapid
white,loss,checkmated,1662660996,26,1190,73.22,1163,73.36,307.9,311.1,600,rapid
black,win,checkmated,1662734335,49,1158,74.95,1198,84.72,297.2,320.1,600,rapid
white,win,resigned,1662836684,43,1207,73.23,1228,64.38,79.9,196.9,600,rapid
black,win,resigned,1662837445,12,1153,,1214,,555.2,554.1,600,rapid
black,loss,resigned,1662842287,64,1259,82.86,1207,72.38,154.2,156.6,600,rapid
white,loss,checkmated,1662890299,31,1199,,1226,,297.0,300.1,600,rapid
white,win,resigned,1662890799,16,1206,86.68,1146,71.73,402.9,406.7,600,rapid
white,draw,timevsinsufficient,1662900927,66,1206,75.05,1224,81.25,21.9,0.3,600,rapid
black,loss,resigned,1662909449,15,1251,94.44,1199,70.11,541.2,486.5,600,rapid
black,win,resigned,1662910098,33,1186,,1207,,364.3,366.4,600,rapid
black,loss,timeout,1662926228,40,1244,70.57,1200,64.26,148.0,10.8,600,rapid
white,draw,stalemate,1662927544,50,1200,69.55,1197,73.69,65.2,140.5,600,rapid
white,loss,resigned,1662990606,28,1191,,1164,,373.8,407.5,600,rapid
black,loss,resigned,1662990671,10,1226,,1184,,571.9,575.0,600,rapid
white,loss,resigned,1662991077,16,1176,,1210,,474.2,334.3,600,rapid
black,loss,checkmated,1663012246,39,1140,64.42,1167,59.63,55.1,60.6,600,rapid
white,win,timeout,1663090075,51,1176,79.31,1184,86.33,67.8,68.8,600,rapid
black,win,resigned,1663095731,32,1119,74.48,1183,85.24,212.5,270.2,600,rapid
white,win,checkmated,1663096541,32,1191,,1180,,334.2,393.3,600,rapid
black,win,checkmated,1663097692,44,1176,61.71,1199,74.38,188.3,210.9,600,rapid
black,loss,checkmated,1663099009,33,1196,77.39,1191,65.51,290.4,292.8,600,rapid
white,win,resigned,1663251592,22,1199,78.88,1192,68.68,383.8,384.7,600,rapid
white,loss,resigned,1663252859,57,1192,75.5,1234,80.46,37.5,73.5,600,rapid
black,win,resigned,1663273536,17,1186,73.83,1200,81.35,308.2,434.5,600,rapid
black,win,resigned,1663274075,22,1204,70.54,1208,89.79,409.5,432.4,600,rapid
white,win,resigned,1663275626,43,1217,,1240,,321.9,121.5,600,rapid
black,loss,checkmated,1663358223,43,1191,75.83,1208,62.7,40.0,42.6,600,rapid
white,loss,resigned,1663358700,21,1202,,1291,,446.5,387.5,600,rapid
black,loss,resigned,1663359017,20,1220,93.46,1194,73.43,486.4,429.0,600,rapid
white,loss,resigned,1663360115,48,1185,70.2,1156,77.84,228.5,48.1,600,rapid
white,loss,checkmated,1663439579,22,1176,,1148,,323.2,327.2,600,rapid
white,win,resigned,1663439764,7,1185,,1191,,591.4,572.3,600,rapid
black,win,resigned,1663440306,20,1257,81.36,1195,91.39,426.5,495.1,600,rapid
black,win,resigned,1663442267,22,1227,66.37,1204,86.71,379.7,455.8,600,rapid
white,win,resigned,1663785992,27,1213,,1224,,386.1,492.7,600,rapid
black,loss,checkmated,1663786921,29,1220,89.51,1205,77.38,372.4,373.9,600,rapid
black,win,resigned,1663788711,47,1178,83.22,1213,89.27,264.2,189.7,600,rapid
black,loss,checkmated,1663874199,46,1200,,1205,,52.4,19.1,600,rapid
white,win,resigned,1663878226,33,1213,80.35,1176,76.39,192.5,3.4,600,rapid
white,win,resigned,1663880310,57,1220,,1157,,65.4,35.5,600,rapid
black,win,checkmated,1664017301,33,1191,78.94,1228,94.75,396.1,399.7,600,rapid
white,win,checkmated,1664018734,23,1237,92.56,1266,73.89,378.5,389.2,600,rapid
white,win,resigned,1664023541,50,1246,,1257,,161.5,43.3,600,rapid
white,win,resigned,1664101605,8,1254,99.75,1218,63.21,542.3,542.4,600,rapid
