pieces,result,game_ending,end_time,moves,white_rating,white_accuracy,black_rating,black_accuracy,white_seconds,black_seconds,time_control,time_class
white,loss,abandoned,1658170968,16,1054,94.7,1080,93.32,431.8,304.0,600,rapid
white,loss,checkmated,1658256088,69,1047,72.92,1109,75.89,145.1,145.8,600,rapid
black,win,resigned,1658258913,41,994,63.15,1054,74.84,221.8,170.3,600,rapid
white,win,resigned,1658267885,34,1061,60.64,1007,53.81,274.3,275.9,600,rapid
black,win,checkmated,1658320945,34,1007,57.86,1068,66.92,375.9,176.4,600,rapid
black,loss,resigned,1658329242,19,1083,,1060,,495.2,402.6,600,rapid
black,win,timeout,1658330437,43,1056,,1068,,1.4,40.5,600,rapid
white,draw,repetition,1658331765,69,1068,63.83,1081,67.95,213.7,326.2,600,rapid
white,loss,checkmated,1658334905,50,1061,,1102,,189.0,192.2,600,rapid
black,loss,resigned,1658348732,19,1096,82.15,1054,69.52,426.9,466.6,600,rapid
black,loss,checkmated,1658349701,56,1134,,1048,,34.6,35.8,600,rapid
white,win,resigned,1658400894,13,1056,96.2,1037,69.88,536.9,541.6,600,rapid
white,win,checkmated,1658401503,18,1064,80.93,1060,58.68,336.6,359.9,600,rapid
white,win,resigned,1658413062,31,1072,78.91,1056,71.83,382.7,421.2,600,rapid
white,loss,resigned,1658609526,22,1064,56.95,1096,74.24,421.3,434.3,600,rapid
black,win,resigned,1658609768,12,1110,73.38,1073,92.91,505.3,526.7,600,rapid
black,win,resigned,1658659476,28,1053,65.18,1081,83.59,222.3,198.3,600,rapid
black,win,resigned,1658661205,5,1055,80.53,1089,100.0,596.2,584.2,600,rapid
white,loss,checkmated,1658679185,35,1083,,1176,,199.2,199.8,600,rapid
white,loss,checkmated,1658679775,28,1075,72.89,1084,73.45,345.3,295.1,600,rapid
black,win,resigned,1658681135,36,1141,,1085,,74.7,78.2,600,rapid
black,loss,checkmated,1658690865,27,1134,,1078,,199.7,200.7,600,rapid
white,win,resigned,1658690985,8,1087,94.45,1105,46.21,552.7,551.5,600,rapid
black,win,resigned,1658691463,17,1040,,1094,,483.8,513.4,600,rapid
black,win,resigned,1658691929,27,1097,76.14,1102,82.45,460.6,316.8,600,rapid
white,win,checkmated,1658692197,14,1109,,1071,,541.2,556.2,600,rapid
black,loss,checkmated,1658692602,38,1080,64.36,1100,49.15,429.5,398.9,600,rapid
black,win,checkmated,1658693297,38,1085,77.74,1108,92.89,278.4,282.2,600,rapid
black,win,resigned,1658693791,19,1088,55.91,1116,71.65,374.0,425.6,600,rapid
white,win,abandoned,1658758266,12,1123,89.93,1064,73.34,463.4,464.1,600,rapid
white,win,resigned,1658771293,24,1132,87.99,1145,77.14,397.3,521.2,600,rapid
white,loss,checkmated,1658772641,62,1124,70.36,1154,73.88,11.3,12.9,600,rapid
white,win,checkmated,1658774874,9,1133,97.96,1137,69.37,572.5,516.4,600,rapid
white,loss,checkmated,1658775969,55,1125,74.71,1127,80.26,251.2,93.1,600,rapid
black,loss,checkmated,1658777158,59,1151,80.66,1117,74.6,122.1,122.9,600,rapid
black,win,resigned,1658779394,19,1177,63.78,1127,76.94,447.4,455.2,600,rapid
white,win,resigned,1658780301,34,1134,84.27,1093,75.69,345.0,300.5,600,rapid
black,loss,checkmated,1658783930,56,1124,76.81,1126,73.33,82.0,135.8,600,rapid
white,loss,checkmated,1658784976,29,1116,64.81,1057,76.98,57.1,182.4,600,rapid
black,loss,timeout,1658832078,109,1087,72.22,1107,66.24,186.4,55.0,600,rapid
black,loss,resigned,1658832258,12,1150,,1100,,566.6,545.3,600,rapid
white,win,checkmated,1658838845,23,1108,67.5,1105,48.69,266.2,271.2,600,rapid
white,win,abandoned,1658841572,19,1116,94.29,1111,75.98,464.1,467.2,600,rapid
black,win,resigned,1658847194,20,1077,73.77,1123,82.43,420.1,475.0,600,rapid
white,win,checkmated,1658854161,34,1132,79.19,1137,71.93,274.6,276.4,600,rapid
black,win,resigned,1658857702,32,1125,70.52,1140,72.16,342.4,183.4,600,rapid
black,loss,checkmated,1658860284,44,1119,79.39,1131,69.53,216.0,217.1,600,rapid
white,win,resigned,1658862714,40,1138,,1076,,350.0,351.8,600,rapid
white,win,checkmated,1658864460,46,1138,78.22,504,66.15,5.2,6.9,600,rapid
black,loss,resigned,1658865107,16,1145,,1130,,470.7,536.2,600,rapid
white,loss,checkmated,1658931905,36,1122,71.98,1158,83.4,296.0,428.1,600,rapid
black,win,checkmated,1658933096,60,1075,77.18,1129,84.45,17.2,18.7,600,rapid
white,win,checkmated,1658963913,34,1137,84.78,1113,70.69,333.1,114.0,600,rapid
white,loss,resigned,1658965081,39,1130,76.61,1166,87.7,100.5,132.6,600,rapid
black,win,resigned,1659017061,21,1061,72.41,1137,85.57,457.9,461.9,600,rapid
black,win,checkmated,1659018130,27,1148,61.2,1145,73.7,77.2,78.8,600,rapid
white,win,checkmated,1659035332,52,1154,86.37,1174,78.4,36.7,40.8,600,rapid
black,win,checkmated,1659093583,27,1049,67.55,1160,75.65,315.4,268.3,600,rapid
black,win,checkmated,1659094648,30,1139,,1168,,432.1,310.8,600,rapid
black,loss,resigned,1659123196,5,1196,,1160,,559.2,593.3,600,rapid
white,win,resigned,1659124129,34,1168,73.21,1147,68.52,230.8,54.7,600,rapid
black,loss,resigned,1659180792,67,1221,79.62,1161,79.13,66.6,12.9,600,rapid
white,win,resigned,1659195542,18,1169,89.92,1133,63.64,439.1,484.9,600,rapid
white,win,resigned,1659214057,20,1176,91.69,1130,74.39,490.0,411.6,600,rapid
white,win,resigned,1659214765,15,1184,74.67,1184,58.51,466.4,430.4,600,rapid
white,win,resigned,1659216395,16,1193,59.24,1199,61.04,355.4,221.4,600,rapid
black,loss,checkmated,1659269292,60,1199,73.47,1185,67.57,18.7,20.0,600,rapid
white,win,resigned,1659271788,56,1193,,1182,,222.5,332.2,600,rapid
black,loss,checkmated,1659276197,51,1165,,1184,,305.8,288.5,600,rapid
black,loss,resigned,1659276889,48,1137,73.52,1175,66.0,320.1,212.5,600,rapid
black,loss,checkmated,1659277044,20,1149,82.13,1166,59.59,539.5,541.2,600,rapid
white,loss,resigned,1659277302,20,1157,,1144,,484.6,467.9,600,rapid
black,loss,resigned,1659277404,15,1118,,1148,,538.2,570.9,600,rapid
white,win,checkmated,1659277654,12,1156,,1138,,554.5,542.7,600,rapid
white,loss,resigned,1659285880,10,1149,,1186,,495.1,553.5,600,rapid
white,loss,resigned,1659286609,33,1141,72.85,1167,81.58,291.1,208.6,600,rapid
black,draw,repetition,1659287744,38,1138,57.23,1141,68.39,55.7,75.8,600,rapid
black,loss,resigned,1659288513,32,1154,,1133,,290.0,216.5,600,rapid
black,win,resigned,1659288700,17,1121,,1141,,527.0,527.1,600,rapid
