pieces,result,game_ending,end_time,moves,white_rating,white_accuracy,black_rating,black_accuracy,white_seconds,black_seconds,time_control,time_class
black,win,checkmated,1656747538,33,1083,,1106,,142.8,145.8,600,rapid
black,win,checkmated,1657012604,49,1124,83.79,1115,93.26,437.2,439.4,600,rapid
white,loss,abandoned,1657037639,3,1107,,1103,,575.9,591.9,600,rapid
white,loss,resigned,1657114940,16,1098,74.52,1058,80.26,487.0,499.0,600,rapid
white,win,checkmated,1657115648,47,1106,,1089,,304.2,310.2,600,rapid
black,win,checkmated,1657128760,24,529,66.66,1106,85.94,68.3,120.1,600,rapid
black,loss,checkmated,1657135471,52,1163,,1099,,344.9,347.0,600,rapid
black,loss,checkmated,1657136361,69,1068,,1090,,139.0,139.1,600,rapid
white,loss,checkmated,1657233912,26,1082,,1085,,227.9,365.1,600,rapid
white,loss,checkmated,1657235086,55,1075,68.27,1123,73.78,38.1,25.0,600,rapid
black,win,checkmated,1657292519,56,1117,73.46,1084,83.42,341.2,344.4,600,rapid
white,win,timeout,1657296848,60,1091,66.7,1047,64.47,7.6,8.7,600,rapid
black,win,timeout,1657300321,43,997,55.37,1097,62.04,6.7,217.9,600,rapid
white,loss,checkmated,1657305259,65,1089,,1115,,78.6,111.3,600,rapid
white,win,resigned,1657310648,30,1097,84.32,1098,76.95,417.9,428.2,600,rapid
black,loss,checkmated,1657312019,92,1102,,1089,,11.4,170.5,600,rapid
black,win,resigned,1657371939,32,999,72.15,1095,85.9,455.3,439.6,600,rapid
white,loss,resigned,1657372622,28,1087,,1102,,340.6,359.0,600,rapid
black,loss,checkmated,1657392710,52,1082,,1079,,224.5,224.6,600,rapid
black,win,checkmated,1657455196,25,1030,60.86,1086,79.2,480.3,481.6,600,rapid
black,draw,repetition,1657477092,49,1119,,1087,,36.3,36.4,600,rapid
white,loss,checkmated,1657552948,63,1081,61.18,1160,67.64,148.9,150.3,600,rapid
white,win,abandoned,1657642119,32,1088,57.64,1040,54.33,318.8,330.5,600,rapid
black,win,resigned,1657653716,33,1096,79.83,1096,90.4,272.5,196.6,600,rapid
white,loss,timeout,1657660336,63,1088,,1112,,2.1,35.3,600,rapid
white,win,checkmated,1657718873,44,1095,85.11,1034,75.05,328.5,178.1,600,rapid
black,win,checkmated,1657732710,39,1079,71.57,1103,81.63,219.2,222.5,600,rapid
black,win,checkmated,1657744683,28,1097,70.83,1111,86.92,313.5,334.6,600,rapid
white,win,checkmated,1657749247,32,1118,77.69,1076,75.89,149.1,159.2,600,rapid
white,loss,checkmated,1657821009,52,1111,71.46,1153,77.49,266.7,240.7,600,rapid
white,loss,checkmated,1657829353,61,1103,,1102,,40.0,42.5,600,rapid
black,loss,checkmated,1657836366,35,1089,83.02,1094,71.9,280.3,326.7,600,rapid
black,loss,resigned,1657892100,23,1063,,1085,,423.6,436.4,600,rapid
black,loss,checkmated,1657894310,74,1036,,1076,,15.3,50.1,600,rapid
white,win,timeout,1657912074,29,1085,54.77,1104,47.74,283.6,381.3,600,rapid
white,loss,resigned,1657989451,9,1078,,1133,,514.8,527.8,600,rapid
black,win,checkmated,1657990026,29,1119,62.2,1087,74.94,295.6,304.6,600,rapid
black,win,timeout,1658002490,35,1132,85.77,1096,78.65,68.1,71.9,600,rapid
white,loss,checkmated,1658003134,25,1089,,1139,,347.7,352.1,600,rapid
black,loss,checkmated,1658003940,69,1146,,1082,,294.5,297.6,600,rapid
white,loss,checkmated,1658061158,70,1074,,1085,,22.2,8.6,600,rapid
white,draw,stalemate,1658072504,60,1075,,1102,,81.6,125.2,600,rapid
white,win,checkmated,1658086260,31,1084,77.32,1105,72.64,329.5,368.1,600,rapid
black,loss,resigned,1658090041,5,1185,100.0,1078,58.03,584.3,579.6,600,rapid
black,loss,resigned,1658090722,60,1156,74.4,1072,66.97,258.4,258.5,600,rapid
black,loss,resigned,1658091088,30,1284,,1068,,458.2,406.4,600,rapid
white,win,resigned,1658091525,35,1074,,959,,384.7,388.4,600,rapid
white,loss,resigned,1658092005,22,1068,,1176,,392.4,356.9,600,rapid
white,loss,resigned,1658092348,21,1062,70.0,1174,73.93,450.1,429.6,600,rapid
black,loss,checkmated,1658148159,36,1112,81.04,1055,70.19,257.6,264.8,600,rapid
black,win,checkmated,1658170274,22,1013,67.09,1062,87.95,370.1,350.1,600,rapid
